city,Latitude,Longitude,"Max temp, F",Humidity %,Cloudiness,"Wind Speed, mph",Country,Date
maniitsoq,65.42,-52.9,47.53,85.0,100.0,8.19,GL,1595532850.0
pangnirtung,66.15,-65.71,51.8,81.0,90.0,11.41,CA,1595532767.0
khash,28.22,61.22,73.18,47.0,0.0,2.91,IR,1595532850.0
hangal,14.77,75.13,72.7,92.0,100.0,4.43,IN,1595532850.0
feldkirchen-westerham,47.91,11.84,69.01,81.0,66.0,1.01,DE,1595532850.0
san carlos de bariloche,-41.15,-71.31,28.4,74.0,20.0,6.93,AR,1595532625.0
souillac,-20.52,57.52,68.0,68.0,75.0,18.34,MU,1595532759.0
deputatskiy,69.3,139.9,71.55,48.0,100.0,1.3,RU,1595532851.0
hatfield,51.76,-0.22,75.99,72.0,90.0,10.29,GB,1595532851.0
pahrump,36.21,-115.98,97.0,11.0,0.0,7.0,US,1595532851.0
atambua,-9.11,124.89,64.85,87.0,56.0,6.02,ID,1595532759.0
lagoa,39.05,-27.98,69.94,69.0,0.0,3.02,PT,1595532516.0
sorong,-0.88,131.25,77.49,87.0,25.0,6.98,ID,1595532773.0
shurugwi,-19.67,30.01,44.4,88.0,3.0,8.86,ZW,1595532851.0
reinosa,43.0,-4.14,73.4,78.0,75.0,5.82,ES,1595532851.0
sabang,5.89,95.32,81.27,75.0,87.0,7.47,ID,1595532851.0
kharitonovo,61.4,47.5,59.16,94.0,100.0,8.01,RU,1595532852.0
high prairie,55.43,-116.49,57.34,91.0,100.0,5.26,CA,1595532852.0
sao joao da barra,-21.64,-41.05,80.6,47.0,0.0,16.11,BR,1595532752.0
kristiinankaupunki,62.27,21.38,53.28,91.0,100.0,17.02,FI,1595532782.0
wufeng,27.45,104.83,61.41,100.0,87.0,4.0,CN,1595532852.0
damaturu,11.75,11.96,81.57,66.0,26.0,12.46,NG,1595532852.0
mindupok,6.09,124.42,78.55,75.0,99.0,3.78,PH,1595532852.0
arak,34.09,49.69,75.06,20.0,23.0,5.12,IR,1595532625.0
shingu,33.73,135.98,75.69,81.0,100.0,2.55,JP,1595532774.0
makakilo city,21.35,-158.09,82.4,61.0,1.0,6.93,US,1595532504.0
callaway,30.15,-85.57,89.01,70.0,20.0,10.29,US,1595532853.0
tual,-5.67,132.75,78.82,82.0,8.0,18.61,ID,1595532752.0
tiksi,71.69,128.87,58.68,81.0,98.0,8.41,RU,1595532738.0
lata,40.16,-8.33,77.0,70.0,0.0,4.0,PT,1595532718.0
dourbali,11.81,15.86,79.9,67.0,88.0,5.41,TD,1595532853.0
fort nelson,58.81,-122.7,60.8,77.0,90.0,3.36,CA,1595532629.0
ulaangom,49.98,92.07,63.09,75.0,98.0,1.57,MN,1595532853.0
ewing,40.27,-74.8,88.0,62.0,75.0,8.05,US,1595532671.0
krasnoselkup,65.7,82.47,49.57,70.0,29.0,14.54,RU,1595532771.0
saint-philippe,-21.36,55.77,64.4,72.0,40.0,13.87,RE,1595532710.0
galesong,-5.32,119.37,69.8,94.0,20.0,2.24,ID,1595532853.0
marsa matruh,31.35,27.25,78.8,74.0,20.0,6.93,EG,1595532854.0
bandarbeyla,9.49,50.81,75.96,81.0,20.0,31.05,SO,1595532854.0
kieta,-6.22,155.63,78.46,77.0,66.0,5.23,PG,1595532772.0
ayan,56.45,138.17,53.24,77.0,42.0,4.43,RU,1595532854.0
rocha,-34.48,-54.33,70.68,87.0,100.0,5.68,UY,1595532854.0
avera,33.19,-82.53,91.4,55.0,40.0,4.7,US,1595532735.0
timaru,-44.4,171.25,37.99,39.0,0.0,5.01,NZ,1595532810.0
filadelfia,39.95,-75.16,89.01,58.0,75.0,11.41,US,1595532652.0
aripuana,-9.17,-60.63,96.44,25.0,84.0,1.83,BR,1595532854.0
pascagoula,30.37,-88.56,84.2,74.0,1.0,10.29,US,1595532732.0
kavaratti,10.57,72.64,82.27,79.0,100.0,11.72,IN,1595532719.0
shu,43.6,73.76,81.0,73.0,81.0,4.0,KZ,1595532855.0
laguna,38.42,-121.42,82.0,44.0,1.0,9.17,US,1595532700.0
taoudenni,22.68,-3.98,107.02,11.0,5.0,6.17,ML,1595532710.0
attock,33.77,72.36,84.99,74.0,0.0,5.82,PK,1595532855.0
dharchula,29.85,80.53,65.86,72.0,0.0,2.08,IN,1595532718.0
outjo,-20.12,16.15,55.24,34.0,0.0,10.83,NA,1595532855.0
talara,-4.58,-81.27,73.4,69.0,1.0,18.34,PE,1595532855.0
provideniya,64.38,-173.3,48.2,76.0,90.0,6.71,RU,1595532729.0
chapeco,-27.1,-52.62,80.01,35.0,100.0,2.8,BR,1595532856.0
nata,8.33,-80.52,82.4,70.0,40.0,5.82,PA,1595532856.0
west wendover,40.74,-114.07,82.4,34.0,1.0,8.05,US,1595532856.0
balkhash,46.84,74.98,76.78,43.0,92.0,7.02,KZ,1595532856.0
brandon,27.94,-82.29,79.0,88.0,40.0,3.36,US,1595532790.0
concordia,-31.39,-58.02,55.4,93.0,90.0,11.41,AR,1595532857.0
damietta,31.42,31.81,82.4,69.0,0.0,11.41,EG,1595532857.0
srivardhan,18.03,73.02,81.18,83.0,100.0,0.54,IN,1595532857.0
gravdal,68.12,13.5,50.0,93.0,75.0,17.22,NO,1595532857.0
severo-kurilsk,50.68,156.12,49.41,91.0,100.0,3.18,RU,1595532718.0
pithoragarh,29.58,80.22,62.67,97.0,0.0,1.48,IN,1595532858.0
sarab,38.61,44.99,76.15,52.0,60.0,1.52,IR,1595532858.0
ewa beach,21.32,-158.01,82.4,61.0,1.0,6.93,US,1595532858.0
port macquarie,-31.43,152.92,42.8,100.0,40.0,1.12,AU,1595532858.0
sao gabriel da cachoeira,-0.13,-67.09,82.4,78.0,40.0,4.7,BR,1595532859.0
teya,60.38,92.63,48.49,91.0,98.0,5.32,RU,1595532719.0
coquimbo,-29.95,-71.34,57.2,58.0,95.0,12.75,CL,1595532698.0
guerrero negro,27.98,-114.06,74.55,54.0,3.0,14.23,MX,1595532768.0
kargopol,61.51,38.95,54.1,97.0,100.0,3.89,RU,1595532859.0
camacha,33.08,-16.33,69.8,73.0,75.0,13.87,PT,1595532859.0
guymon,36.68,-101.48,91.4,43.0,1.0,12.75,US,1595532565.0
rawlins,41.79,-107.24,82.4,26.0,20.0,18.34,US,1595532860.0
scottsbluff,41.87,-103.67,95.0,23.0,1.0,3.36,US,1595532860.0
quesnel,53.0,-122.5,66.2,55.0,75.0,3.36,CA,1595532860.0
kilindoni,-7.91,39.67,76.32,68.0,2.0,18.79,TZ,1595532425.0
wanning,18.8,110.4,80.71,82.0,23.0,6.33,CN,1595532744.0
katangli,51.71,143.23,50.36,87.0,100.0,9.46,RU,1595532734.0
komoro,36.32,138.43,69.01,84.0,100.0,2.08,JP,1595532860.0
chickasha,35.05,-97.94,89.01,83.0,90.0,12.75,US,1595532856.0
beberibe,-4.18,-38.13,84.2,58.0,75.0,17.22,BR,1595532861.0
santa isabel,-23.32,-46.22,80.6,34.0,5.0,3.36,BR,1595532861.0
los llanos de aridane,28.66,-17.92,73.4,73.0,20.0,18.34,ES,1595532748.0
kalmar,56.66,16.36,63.0,55.0,21.0,10.29,SE,1595532861.0
varberg,57.11,12.25,62.01,78.0,100.0,8.01,SE,1595532861.0
thompson,55.74,-97.86,78.8,65.0,75.0,9.17,CA,1595532725.0
ghoti,19.72,73.62,73.72,91.0,100.0,3.69,IN,1595532862.0
vanimo,-2.67,141.3,77.85,82.0,13.0,5.1,PG,1595532730.0
faanui,-16.48,-151.75,77.23,81.0,0.0,20.07,PF,1595532741.0
vila franca do campo,37.72,-25.43,69.8,68.0,40.0,6.93,PT,1595532787.0
larap,14.3,122.65,79.21,88.0,100.0,4.79,PH,1595532862.0
nioro,13.35,-15.75,79.23,82.0,88.0,5.12,GM,1595532862.0
kalmunai,7.42,81.82,79.43,81.0,95.0,15.05,LK,1595532690.0
paita,-5.09,-81.11,73.4,69.0,2.0,18.34,PE,1595532706.0
kahului,20.89,-156.47,86.0,48.0,20.0,16.11,US,1595532423.0
aswan,24.09,32.91,91.78,14.0,0.0,12.12,EG,1595532863.0
betsiamites,48.94,-68.65,71.6,56.0,75.0,6.93,CA,1595532863.0
port-gentil,-0.72,8.78,77.0,83.0,20.0,12.73,GA,1595532863.0
juneau,58.3,-134.42,55.4,87.0,90.0,9.17,US,1595532718.0
santa fe,-31.63,-60.7,48.0,85.0,100.0,8.99,AR,1595532863.0
ransang,8.96,117.58,79.14,78.0,100.0,3.69,PH,1595532863.0
oranjestad,12.52,-70.03,89.6,62.0,75.0,20.8,AW,1595532612.0
shar,49.59,81.05,65.34,47.0,69.0,7.09,KZ,1595532864.0
ninghai,29.29,121.42,84.2,74.0,40.0,4.47,CN,1595532789.0
antofagasta,-23.65,-70.4,59.0,62.0,20.0,18.34,CL,1595532622.0
shunyi,40.12,116.65,82.99,88.0,73.0,2.24,CN,1595532864.0
neiafu,-18.65,-173.98,73.4,94.0,40.0,2.24,TO,1595532864.0
lazaro cardenas,17.96,-102.2,86.2,65.0,76.0,7.63,MX,1595532864.0
husavik,66.04,-17.34,50.0,66.0,75.0,14.99,IS,1595532865.0
owando,-0.48,15.9,76.87,72.0,100.0,3.22,CG,1595532865.0
isoka,-10.16,32.63,52.11,75.0,0.0,2.53,ZM,1595532865.0
hamilton,39.18,-84.53,87.01,74.0,75.0,8.05,US,1595532481.0
egvekinot,66.32,-179.17,59.16,52.0,41.0,3.98,RU,1595532726.0
kichera,55.94,110.1,56.79,77.0,6.0,3.6,RU,1595532865.0
abu dhabi,24.47,54.37,93.2,70.0,0.0,9.17,AE,1595532851.0
loutros,40.59,22.4,82.99,51.0,0.0,1.01,GR,1595532865.0
kyzyl-suu,42.34,78.0,60.62,34.0,37.0,5.3,KG,1595532866.0
salalah,17.02,54.09,80.6,88.0,40.0,6.93,OM,1595532490.0
san quintin,30.48,-115.95,70.29,62.0,0.0,12.26,MX,1595532866.0
bilma,18.69,12.92,94.39,12.0,0.0,9.35,NE,1595532866.0
venice,27.1,-82.45,75.99,94.0,75.0,9.17,US,1595532710.0
constitucion,-35.33,-72.42,52.02,71.0,42.0,3.02,CL,1595532731.0
sazonovo,59.09,35.23,49.73,92.0,34.0,4.0,RU,1595532866.0
sisimiut,66.94,-53.67,53.11,71.0,9.0,8.5,GL,1595532867.0
pozo colorado,-23.49,-58.8,89.69,26.0,0.0,6.62,PY,1595532867.0
sagone,42.12,8.7,78.8,74.0,0.0,2.24,FR,1595532867.0
tura,25.52,90.22,74.57,98.0,100.0,5.41,IN,1595532718.0
igbon,11.21,123.17,80.38,82.0,100.0,5.91,PH,1595532867.0
daye,30.08,114.95,79.74,87.0,100.0,2.21,CN,1595532868.0
marsh harbour,26.54,-77.06,84.22,74.0,59.0,17.31,BS,1595532809.0
nhulunbuy,-12.23,136.77,69.8,100.0,0.0,4.7,AU,1595532868.0
colac,-38.33,143.58,37.99,91.0,88.0,2.84,AU,1595532868.0
yeppoon,-23.13,150.73,55.4,93.0,40.0,11.54,AU,1595532755.0
winnemucca,40.97,-117.74,82.4,26.0,1.0,8.66,US,1595532868.0
gushikawa,26.35,127.87,84.2,88.0,20.0,5.82,JP,1595532868.0
masallatah,32.62,14.0,72.5,84.0,0.0,6.55,LY,1595532868.0
port-cartier,50.03,-66.87,70.0,64.0,75.0,8.05,CA,1595532869.0
pleasanton,37.66,-121.87,80.01,49.0,1.0,9.17,US,1595532869.0
donskoye,45.46,41.97,71.6,46.0,0.0,8.95,RU,1595532869.0
vao,-22.67,167.48,69.21,79.0,0.0,18.48,NC,1595532760.0
quelimane,-17.88,36.89,69.8,77.0,40.0,2.24,MZ,1595532869.0
havre-saint-pierre,50.23,-63.6,73.4,53.0,1.0,10.29,CA,1595532772.0
san jeronimo,-11.95,-75.28,59.92,44.0,46.0,10.92,PE,1595532869.0
beidao,34.57,105.89,67.24,88.0,100.0,1.88,CN,1595532870.0
permet,40.23,20.35,78.01,49.0,25.0,1.01,AL,1595532870.0
